и,and
неизбежность (f),inevitability
нелёгкий,difficult; heavy
нелепый,absurd
необычайный,exceptional
неожиданность (f),surprise
неплохой,not bad
нетерпеливо,impatiently
нефтяной,oil (adj)
обижать/обидеть (+a),"to offend, hurt"
обнаруживаться/обнаружиться,to be revealed
обрыв,precipice
одиночество,"loneliness, solitude"
одобрять/одобрить (+a),to approve
опасно,dangerously
опера,opera
опрокидывать/опрокинуть (+a),"to knock over, overturn"
орошение,irrigation
отбрасывать/отбросить (+a),to throw off; discard
откос,slope
охотничий,hunting (adj)
палата,chamber; ward
палач,executioner
палочка,"small stick, baton"
парижский,Parisian
пейзаж,landscape
перегрузка,overload
переплёт,binding
подвергать/подвергнуть (+a +d),to subject (s.o. to sth)
подряд,in succession; contract
пожелание,wish
покойник,"dead person, the deceased"
по-разному,in different ways
по-своему,in one’s own way
потребитель (m),consumer
почин,initiative
приближаться/приблизиться (к +d),to approach; draw near
признаваться/признаться (в +pr),to confess
принципиальный,"of principle, fundamental"
провод,wire
прожектор,searchlight; floodlight
простота,simplicity
прочно,solidly
прошедший,past (adj)
пузырь (m),bubble
разгром,crushing defeat; devastation
разоблачать/разоблачить (+a),"to expose, unmask"
разом,"at once, at one go; in a flash (coll)"
разрывать/разорвать (+a),to tear up
распространять/распространить (+a),to spread
рассеянный,absent-minded
ремень (m),belt
робко,timidly
свист,whistling
свойственный (+d),characteristic (of)
сдерживать/сдержать (+a),"to hold back, restrain, keep (promise)"
сев,sowing
скандал,scandal
сломить (р) (+a),to break
случайность (f),"chance, chance occurrence"
собачий,dog’s
советник,adviser
согласно (+d),according to
сокращать/сократить (+a),to shorten; reduce
солидный,"solid, sound; reliable"
спокойствие,calmness
сражение,battle
стадион,stadium
стан,figure (human); camp
стойкость (f),"firmness, steadfastness"
стремительный,rapid; dynamic
таить (i) (+a),to conceal
таскать/по- (+a),to drag
татарин,Tatar
ужинать/по-,to have supper
употреблять/употребить (+a),to use
усиление,strengthening
устранять/устранить (+a),to remove
фу,(expressing disgust) ugh!
чудовищный,monstrous
чуждый,(+d) alien (to); (+g) devoid (of)
шоссе (n) (indecl),highway
шумный,noisy
эра,era
эффективный,effective
ясность (f),clarity
адвокат,lawyer
активист,(political) activist
архитектор,architect
бал,ball (dance)
беднота,the poor
блокнот,notepad
валиться/по-/с-,to fall
ввиду (+g),in view of
веко,eyelid
весной,in spring
вешалка,coat hanger
вздрагивать/вздрогнуть,"to start, flinch, shudder"
внук,grandson
вопреки (+d),in spite of
вор,thief
ворот,collar; winch
вот-вот,"just about to, on the point of"
быть вправе (+inf),to have a right to
вспоминаться (i),to be remembered
встречный,oncoming
выращивать/вырастить (+a),"to grow (sth), rear, cultivate"
глухо,indistinctly
господствовать (i) (над +inst),to dominate
гребень (m),"comb, crest"
даль (f),distance
дворник,"caretaker, janitor; (coll) windscreen wiper"
деревенский,"village, country (adj)"
длиться (i),to last
жалость (f),pity
жёсткий,harsh
заблуждение,delusion
загадочный,mysterious
заговор,plot
загораться/загореться,to catch fire
задумчивый,thoughtful
залезать/залезть (в/на +a),"to climb, get (into/onto)"
заодно,together; (coll) at the same time
заполнять/заполнить (+a),"to fill in, fill up"
заработок,earnings
заслуженный,deserved; distinguished
зимой,in winter
злоба,"spite, malice"
извлекать/извлечь (+a),to extract
излишний,superfluous
изобилие,abundance
икона,icon
индивидуальный,individual
индустриальный,industrial
исключать/исключить (+a),to exclude
каникулы (f) (pl),"holidays, vacation"
капелька,droplet
кидаться/кинуться,"to throw os, rush"
кое-где,here and there
количественный,quantitative
комендант,"warden (of hostel); commandant, governor"
конфликт,conflict
контакт,contact
корка,crust; rind
корреспонденция,correspondence
летом,in summer
максимальный,maximal
машиностроение,mechanical engineering
местность (f),"locality, district"
мундир,uniform
набирать/набрать (+a),"to gather, assemble"
накапливать/накопить (+a),to accumulate
налетать/налететь (на +a),to swoop on; run into
наряд,"attire, costume; order, warrant"
настойчивый,insistent
находка,find
неоднократно,repeatedly
нервничать (i),to be nervous
нисколько,not at all
обидно,"it hurts, it’s annoying"
овладение (+inst),mastery (of)
ограничиваться/ограничиться (+inst),to limit oneself (to); be limited (to)
орех,nut
отделять/отделить (+a),to separate
отпирать/отпереть (+a),to unlock
отправление,dispatch; departure (of train)
ощущать/ощутить (+a),"to feel, sense"
паника,panic
пахать (i) (+a),to plough
первенство,first place (in competition); championship
пласт,layer; stratum
плетень (m),"hurdle, wattle (fence)"
плотник,carpenter
поближе,a bit closer
подчинение,"submission, subjection"
пожарный,fire (adj); (as noun) fireman
поклон,bow (greeting)
поляна,"glade, clearing, forest meadow"
порождать/породить (+a),"to beget, engender, generate"
поскорее,a little faster; hurry up!
посматривать (i) (на +a),to look (at) from time to time
почитать (i/p) (+a),i: to respect; p: to read a little
поэма,long poem
презрение,scorn
преимущественно,primarily
приспособление,adaptation; device
приход,arrival
проверка,"check(ing), inspection"
пролетать/пролететь,to fly through or past
просыпаться/проснуться,to wake up
рассыпаться,to scatter; crumble
растворяться/раствориться,to dissolve; to open
теряться/рас-,to get lost; panic
реальность (f),reality
рекорд,record
речка,small river
руководствоваться (i) (+inst),to be guided (by)
сбор,"collection, gathering"
сводка,"report, bulletin"
сдача,handing over; change (money returned)
семьдесят,seventy
сено,hay
сердечный,heart (adj); heartfelt; warm-hearted
ситуация,situation
сияние,radiance
скважина,"chink, hole"
ломать/с- (+a),"to break, fracture"
составной,composite; component
ссылаться/сослаться (на +a),"to refer to, quote; plead (give as an excuse)"
твёрдость (f),firmness
тетрадка,exercise book
тираж,number of copies; draw (lottery)
торжественно,ceremonially; festively
тощий,emaciated
треск,crack; crash
трещина,"crack, cleft"
труп,corpse
украшать/украсить (+a),to adorn
упорно,persistently
фокус,focus; trick
формула,formula
футбольный,football (adj)
хлебный,bread (adj)
хло́пок,cotton
хлопо́к,"clap, bang"
цикл,cycle
экспериментальный,experimental
анархия,anarchy
банда,"band, gang"
бетонный,concrete (adj)
бремя (n),burden
вертеться (i),to rotate
виноват,guilty; sorry! (short adj)
вольно,freely
восемнадцать,eighteen
вредно,harmful
выдержка,self-control; excerpt
вынужденный,forced
галстук,"tie, necktie"
географический,geographical
гитара,guitar
глиняный,clay (adj)
горка,hillock
дверца,"small door, car door"
девяносто,ninety
демонстрация,demonstration
достояние,property
драгоценность (f),jewel; something valuable
дрогнуть (р),"to shake, waver"
дрогнуть/про-,to be chilled
дружок,friend (coll)
ёлка,fir tree
ерунда,nonsense; trifling matter (coll)
жечь/с- (+a),to burn
завершение,completion
зависть (f),envy
завязывать/завязать (+a),"to tie; start, get involved in"
задыхаться/задохнуться,to suffocate
заезжать/заехать,to call in
заключительный,"final, concluding"
законодательство,legislation
заливать/залить (+a +inst),to flood (sth with sth)
заносить/занести (+a),to bring in; raise
запрещать/запретить,(+d) to forbid (s.o.); (+a) ban (sth)
зрелище,spectacle
иголка,needle
избавляться/избавиться (от +g),to escape from; get rid of
изложение,exposition
исследовать (i/p) (+a),to investigate
историк,historian
касса,cash desk; ticket-office
клин,wedge
когда-либо,at any time; ever
контрольный,"checking, monitoring"
крохотный,tiny (coll)
купеческий,merchant (adj)
манёвр,manoeuvre
математика,mathematics
медицина,"medicine, medical studies"
мобилизовать (i/p) (+a),to mobilize
набор,"set, collection; recruitment"
наглядно,"clearly, graphically"
налаживать/наладить (+a),"to put in working order, set going, adjust, put in order"
хмуриться/на-,to frown
национальность (f),"nationality, ethnic group"
недоумение,bewilderment
неловкий,awkward
непримиримый,irreconcilable; uncompromising
овощи (m) (pl),vegetables
ограда,fence
определённо,definitely
оригинальный,original
осуществляться/осуществиться,"to be brought about, be fulfilled, be put into effect"
отстаивать/отстоять (+a),to defend
отцовский,paternal
переменять/переменить (+a),to change; transform
перила (pl),"handrail, banisters"
печально,sad(ly)
вредить/по- (+d),"to harm, damage"
позор,disgrace
полезно,(it is) useful; usefully
поляк,Pole
порыв,gust; impulse
предназначать/предназначить (на +a/для +g),"to intend for, earmark (for)"
предпочитать (i) (+a +d),to prefer sth to sth
прекращаться/прекратиться,to cease
преодоление,overcoming
преподаватель (m),"teacher, lecturer"
приглашение,invitation
прикосновение,contact
присоединяться/присоединиться (к +d),"to join, join (a group)"
проделывать/проделать (+a),"to make, do, accomplish"
профиль (m),profile
прыжок,jump
равняться/с-,(на +a) to emulate; (+d) be equal to
развёртываться/развернуться,"to unroll, unfold; expand; swing round (make a U-turn)"
разрез,"cut, section"
разъяснять/разъяснить (+a),to explain
располагаться/расположиться,to take up position; settle oneself; make os comfortable
расширяться/расшириться,"to broaden, expand"
режиссёр,"producer (theatre), director (cinema)"
религиозный,religious
робкий,timid
рухнуть (р),to collapse
самостоятельно,independently
связанный,connected; bound
сделка,"deal, transaction"
скучать (i),to be bored; (по +d) miss (s.o. or sth)
соблюдать/соблюсти (+a),"to keep to, adhere to"
совпадать/совпасть (с +inst),to coincide (with)
сознавать/сознать (+a),"to acknowledge, be aware of"
соскакивать/соскочить (с +g),to jump off
состязание,competition
стойка,"bar, counter; stance"
стрелка,arrow; hand (of clock)
струна,string (of instrument)
супруга,spouse (wife)
сходный,similar; (coll) fair (of price)
тревожный,worrying; worried
туго,"tight(ly); difficult, hardly"
убеждённый,convinced
угрюмый,"sullen, gloomy"
упрекать/упрекнуть (+a в +pr),"to accuse (s.o. of), reproach"
усердно,conscientiously
устало,wearily
ух,ooh!
филиал,branch (of organization)
холодильник,refrigerator
худо,"bad, badly"
цепляться/за- (за +a),to clutch (at); catch (on)
частота,frequency
чердак,attic
чётко,"clearly, distinctly, precisely"
швырять/швырнуть (+a or +inst),"to fling, hurl, throw (coll)"
шевелить/по- (+a or +inst),"to stir, move"
шёлковый,silk (adj)
шерсть (f),wool; hair (of animal)
экскурсия,excursion
юбка,skirt
ястреб,hawk
авангард,vanguard
архив,archive(s)
ахать/ахнуть,to gasp
бесспорный,indisputable
бешено,"madly, furiously"
былой,"former, past"
вводиться/ввестись,"to be introduced, brought in"
великолепно,splendid(ly)
взвод,platoon
видимость (f),visibility; appearance
висок,temple (ear to forehead)
вкладывать/вложить (+a),to insert; invest
вкусный,tasty
выбегать/выбежать (из +g),to run out
вымысел,"fabrication, fantasy"
гад,"swine, rat (of person) (coll)"
горючее (n) (adj),fuel
грамотный,literate
граната,shell; grenade
греметь/за-,"to roar, resound"
греть/по- (+a),to heat
дискуссия,discussion
дичь (f),"game, wildfowl"
дрожащий,trembling
ей-богу,"truly, indeed (coll)"
желудок,stomach
забивать/забить (+a),to begin to beat; hammer in; block; cram
задевать/задеть (+a),to touch; catch (on sth)
замечательно,remarkable; remarkably
записной,note (adj)
засуха,drought
затруднение,difficulty
значок,badge
избыток,abundance; surplus
изобретать/изобрести (+a),to invent
изумительный,amazing
изящный,elegant
исход,"outcome, end"
календарь (m),calendar
карточка,card
клясться/по-,"to swear, vow"
коалиция,coalition
комментарий,commentary
котелок,pot; bowler hat
круто,steeply; sharply
латинский,Latin (adj)
литься/по-,to pour
лихой,"dashing, daring; skilful (coll)"
маска,mask
мел,chalk; whitewash
мировоззрение,"outlook, philosophy of life"
мучить/за-/из- (+a),to torment
мяч,ball (for games)
наедине,in private; alone
наибольший,largest
намечаться/наметиться,to be planned
насмешка,taunt
недовольный (+inst),dissatisfied (with)
неизменно,invariably
немедленный,immediate
необыкновенно,unusually
непонятно,incomprehensible/ly
нетерпение,impatience
неудача,failure
обозначать/обозначить (+a),"to mark, designate, denote, mean"
оглядывать/оглядеть (+a),"to look over, inspect"
ограничивать/ограничить (+a),to limit
одобрение,approval
ознакомляться/ознакомиться (с +inst),to acquaint oneself with
осуждать/осудить (+a),to condemn
отбивать/отбить (+a),"to repulse; remove; break off; beat off, get by force"
отважный,courageous
палатка,tent
пена,foam
первобытный,primitive
переживание,"experience, emotional experience"
петля,loop; hinge
платформа,platform
плодородный,"fertile, fruitful"
поверх (+g),above
повседневный,everyday
подвёртываться/подвернуться,"(coll) to turn up, crop up; be rolled up; be sprained, twisted (foot)"
делиться/по- (+inst c +inst),to share (sth with s.o.)
подлый,"mean, underhand"
подполье,underground organization; cellar
подражать (i) (+d),to imitate
покачиваться (i),"to rock, sway"
покоиться (i) (на +pr),"to rest, repose (on)"
покупка,purchase
полночь,midnight
помещаться/поместиться,"to be located; find space, go in, fit in; install os"
порок,vice; defect
портить/ис-,"to spoil, damage"
посещение (+g),"visit (to), attendance (at)"
посредством (+g),by means of
посылка,parcel; errand; sending
предлог,pretext; preposition
представляться/представиться,"to introduce os; present itself, occur"
прерывать/прервать (+a),to interrupt
привязывать/привязать (+a к +d),to attach (sth to sth)
приёмник,radio set
проза,prose
прокладывать/проложить (+a),"to lay, construct (a road)"
прощальный,"farewell (adj), parting"
психология,psychology
путешествовать/по-,to travel
пятница,Friday
разглядеть (р) (+a),"to make out, perceive"
раздел,division; section
разыскивать/разыскать (+a),"to seek out, search for"
раскалённый,"scorching, burning hot"
распространённый,"widespread, common"
рассеивать/рассеять (+a),to scatter
таять/рас-,to melt
растерянный,"perplexed, bewildered"
ревновать (i),to be jealous
репутация,reputation
рисовать/на- (+a),to draw
селение,"settlement, village"
силуэт,silhouette
синева,"blue colour, blueness"
скидывать/скинуть (+a),to throw off (coll)
складка,"fold, crease"
склонный (к +d or +inf),inclined (to)
слезать/слезть (с +g),"to climb down, climb off"
совместно,jointly
содружество,commonwealth
стихия,"element, elemental force; chaos"
студенческий,student (adj)
стыдиться/по- (+g),to be ashamed of
сумка,"bag, handbag"
сурово,severely
схватка,"fight, tussle"
темнеть/по-,"to get dark, go dark"
тётка,aunt; (coll) woman
техник,technician
тоненький,slim
топить/по- (+a),"to stoke; heat; (p) sink (sth), drown (s.o.)"
трижды,"thrice, three times"
трубочка,"small pipe, tube"
трус,coward
трясти/по- (+a),to shake
удаляться/удалиться,"to move away, withdraw"
уделять/уделить (+a +d),"to allot, give"
узелок,small knot; small bundle
указанный,"indicated, specified"
украшение,decoration
уменьшаться/уменьшиться,"to diminish, decrease"
умница (m/f) ,clever person (coll)
унылый,"sad, cheerless"
упрёк,reproach
усиливать/усилить (+a),to strengthen
усталый,tired
утка,duck; hoax
факультет,faculty
целоваться/по-,to kiss (each other)
шутливо,"jokingly, facetiously"
электричество,electricity
яблоня,apple-tree
абстрактный,abstract
агитация,agitation
администрация,administration
аккуратный,"exact, punctual; tidy"
армянский,Armenian (adj)
бережно,carefully
бродяга (m),"tramp, down-and-out"
великан,giant
венгерский,Hungarian
вложение,enclosure (in letter); investment
возникновение,"beginning, origin"
волшебный,magic
враждебный,hostile
вред,harm
выборы (m pl),election
гадость (f),filth; dirty trick
геологический,geological
гимнастёрка,soldier’s tunic
гнёт,oppression
граф,count (title)
график,graph; schedule
грош,"half-kopeck, farthing"
губерния,tsarist province (now область)
демократ,democrat
дорожный,road (adj)
духовенство,clergy
едкий,"acrid, pungent; sarcastic"
жадно,greedily
жилище,"dwelling, habitation"
заветный,"cherished, intimate"
замена,replacement
заново,anew
западноевропейский,Western European
запевать/запеть,to start singing
затрачивать/затратить (+a),"to spend, expend"
звонкий,"ringing, clear"
знаток,expert
ирония,irony
исповедь (f),confession
кожаный,leather (adj)
колония,colony
конский,horse (adj)
конфета,sweet
кружиться/за-,"to whirl, spin round; begin to spin"
кто-либо,anyone
купаться/ис-,to bathe
кучка,small heap; small group
лапа,paw
липа,lime tree
ловушка,trap
лопаться/лопнуть,to burst
любопытно,curiously
материк,mainland
мгновенно,"instantaneously, instantly"
метель (f),snowstorm
мостовая (f),roadway
мышка,armpit; mouse
наводить/навести (+a),"to guide (to); evoke, cause"
налог,tax
напряжённость (f),tension
национализм,nationalism
неверно,false(ly)
негодяй,rascal
недаром,not for nothing
недоверие,mistrust
некто,"someone, a certain"
ненужный,unnecessary
непререкаемый,unquestionable
новинка,novelty
обедать/по-,"to dine, have a meal"
обрываться/оборваться,to snap; stop suddenly; stop short
образованный,educated
оживление,"excitement, animation"
относительный,relative (adj)
отныне,henceforth
отодвигать/отодвинуть (+a),to move aside
отчаянно,desperately
официант,waiter
оформление,registration; putting in required form
пальма,palm tree
патриотизм,patriotism
педагогический,"pedagogical, education (adj)"
перебирать/перебрать (+a),to sort out; look through; go over; sort through; to take in excess
переписка,correspondence
перерезать (i) (+a),to cut
печаль (f),sorrow
плюс,plus; advantage
плясать/с-,to dance
погреб,cellar
подмигивать/подмигнуть (+d),to wink (at)
подсчёт,calculation
подъезд,"entrance, doorway"
покорно,"humbly, obediently"
полвека,half a century
поправка,correction
попросту,simply (coll)
последовательность (f),sequence; consistency
смеяться/по-,to laugh
посредине (+g),in the middle (of)
пояснять/пояснить (+a),to explain
правильность (f),correctness
превосходство,superiority
предъявлять/предъявить (+a +d),"to show, present (sth to s.o.)"
придерживаться (i) (+g),"to keep to, adhere to"
прилетать/прилететь,to arrive (by air)
примесь (f),admixture
провокация,provocation
проповедь (f),sermon
пророк,prophet
противоречить (i) (+d),to contradict (s.o. or sth)
процветание,flourishing; prosperity
птичий,bird’s
пьянство,drunkenness
радуга,rainbow
громить/раз- (+a),to rout; wreck
раскрываться/раскрыться,"to open; be revealed, open up"
расправа,reprisal; harsh treatment; punishment
рассматриваться (i),to be considered
ресница,eyelash
ритм,rhythm
рыбный,fish (adj)
сбиваться/сбиться,"to slip; go wrong, get confused; huddle together"
своевременный,timely
сдержанный,restrained
склоняться/склониться,"to bend, bow; be declined"
скотина,cattle
сноха,daughter-in-law (of husband’s father)
сообщаться/сообщиться,to be communicated; communicate with
прогноз,forecast
спираль (f),spiral
справка,piece of information; certificate
спрос,demand (opposite of supply)
сражаться/сразиться (с +inst),to fight
топать/топнуть,to stamp (one’s feet); (coll) go (=идти)
трибуна,platform; stand (in stadium)
трястись (i),to shake; tremble
тусклый,dim
тьфу,"(euphemism for spitting; expressing dislike or scorn) yuk!, ugh!, pah! (coll)"
убедительный,convincing; earnest
удача,success
ускорение,acceleration
успокаивать/успокоить (+a),"to calm, soothe, quieten"
уступка,concession
фактически,in fact; practically
церемония,ceremony
цирк,circus
четверг,Thursday
чувствоваться/по-,to be felt
чудесно,wonderfully
шептаться (i),to whisper
шумно,noisily
электроэнергия,electric power
элементарный,elementary
энергичный,energetic
энтузиазм,enthusiasm
этак,"this way, thus; approximately (coll)"
безупречный,irreproachable
безусловный,unconditional
берёзка,little birch tree
бесполезно,uselessly
биологический,biological
бор,"pine wood, coniferous forest"
борщ,"borsch, beetroot soup"
борющийся,struggling
бочка,barrel
выявлять/выявить (+a),"to reveal, expose"
бюджет,budget
валять (i),to drag; to roll
верность (f),"faithfulness, loyalty; truth"
вертикальный,vertical
взбираться/взобраться,to climb up
вздор,nonsense  (coll)
виться/с-,"to wind, twine, twist"
вишнёвый,cherry (adj)
влага,"damp, moisture"
влюбляться/влюбиться (в +a),to fall in love with
возглавлять/возглавить (+a),"to head, lead"
возмущённо,indignantly
волевой,strong-willed
воображать/вообразить,to imagine
воронка,funnel
воспринимать/воспринять (+a),to perceive
вскидывать/вскинуть (+a на +a),"to throw (upwards, up onto)"
вторник,Tuesday
вуз,"university, institute (higher education establishment)"
вылезать/вылезть,to climb out
выручать/выручить (+a),to rescue; make (money)
высадка,"landing, disembarkation"
высылать/выслать (+a),"to send out; exile, deport"
головной,head (adj)
горечь (f),bitterness
горох,peas
грузовой,goods (adj)
двенадцатый,twelfth
девичий,"girl’s, maiden’s"
делить/раз- (+a),"to divide, share"
деваться/деться,"to get to, vanish"
досрочно,ahead of schedule
достигнутый,achieved
жар,heat
законодательный,legislative
избранный,selected
измерение,measurement; dimension
индийский,Indian
инспектор,inspector
интервью (n indecl),interview
искоса,sideways (coll)
искусственно,artificially
истёкший,"past, preceding"
канадский,Canadian (adj)
керосин,kerosene
колокольня,bell-tower
копаться (i),to rummage; dawdle
критик,critic
лауреат,prize-winner
любезный,obliging
любимец,favourite
мелькать/мелькнуть,to be (briefly) visible
миссия,mission
многолетний,"lasting many years; long-lasting, perennial"
могущественный,powerful
мода,fashion
молиться/по-,to pray
мудрость (f),wisdom
наполовину,"half, by half"
настоящее,the present
недовольно,discontentedly
необычайно,exceptionally
нива,"field, cornfield"
ноготь (m),"fingernail, toenail"
ноздря,nostril
носок,sock; toe of boot
нянька,nurse (coll)
обсуждаться/обсудиться,to be discussed
огненный,fiery
ожидаться (i),to be expected
око,"eye (bookish, poetic)"
оперативный,energetic; operative
описанный,described
оплата,payment
организованный,organized
осваивать/освоить (+a),to master
остро,"sharply, intensely"
отвратительный,repulsive
отделка,"finishing, fitting-out, decoration"
открытка,postcard
отрывать/оторвать (+a от +g),"to tear off, tear away"
отступление,digression; retreat
отчасти,partly
очертание,outline
пепел,"ash, ashes"
передаваться/передаться,to be transmitted
перелистывать/перелистать (+a),to leaf through
петух,cock
планировать/за- (+a),to plan
подавляющий,overwhelming
подбегать/подбежать (к +d),to run up (to)
поднос,tray
поднятый,raised
подозрительно,suspiciously
показание,testimony; reading (on instrument)
поливать/полить (+inst +a),to pour (liquid on sth)
помиловать (р) (+a),to pardon
по-новому,in a new way
поставка,delivery
тушить/по- (+a),to extinguish; stew
почерк,handwriting
почтённый,respected
пощада,mercy
предлагаться/предложиться,to be offered
предполагаться/предположиться,"to be proposed, intended"
представать/предстать (перед +inst),to appear (before)
прелесть (f),charm
пресс-конференция,press conference
прижиматься/прижаться (к +d),"to squeeze up against; press os (to), snuggle up (to)"
приманка,bait; inducement
принципиально,on principle; fundamentally
приобретение,acquisition
приоткрывать/приоткрыть (+a),to open slightly
прихожая,entrance hall
произвол,"arbitrariness, abuse of power"
противоречивый,contradictory
путём (+g),by means of
различать/различить (+a),to distinguish
разлагать/разложить,"to analyze, decompose, expand, corrupt, demoralize, break down"
раскладывать/разложить,"to put away, lay, set up, distribute, lay out; spread"
разлука,separation
ранее,earlier
рациональный,rational
резолюция,resolution
ремонтный,repair (adj)
римский,Roman
рисковать/рискнуть (+inst),"to risk, take a risk"
росток,"sprout, shoot"
рулевой,steering (adj); helmsman
свинец,lead (metal)
семилетний,seven-year; seven-year-old
скользить (i),to slide
сколько-нибудь (+g),"any, any quantity of"
скопление,accumulation
смертельный,fatal
снабжать/снабдить (+a +inst),to supply (s.o. with sth)
собственник,owner
совокупность (f),totality
созданный,created
соломенный,straw (adj)
сочувствовать (i) (+d),to sympathize (with)
специфический,specific
ставка,rate; stake (gambling); headquarters (mil)
стихотворение,poem
столичный,capital (adj)
столовый,table (adj)
суета,"bustle, fuss"
сукин,bitch’s (poss adj)
танцевальный,dance (adj)
театральный,theatrical
типография,"printing-house, press"
тыкать/ткнуть (+inst в +a or +a в +a),"to prod, jab (sth into sth)"
товарищеский,comradely; friendly
трагедия,tragedy
трепать/по-,"to rumple, tousle; pat; (coll) natter"
тропинка,path
тупой,blunt; stupid
упор,prop
употребление,use
утрачивать/утратить (+a),to lose
учащийся,student (active participle)
фельетон,satirical article
хаос,chaos
хищник,beast of prey; bird of prey; predator
хохот,"loud laughter, guffaw"
хранение,keeping; storage
храниться/со-,to be kept
хребет,spine; ridge; mountain range
хрупкий,fragile
целина,"virgin soil, virgin land"
целое,the whole; integer
цепочка,small chain; series
чересчур,"too, excessive(ly)"
чернила (n pl),ink
чёткий,"clear, precise"
чистить/по- (+a),to clean
шестнадцать,sixteen
щи (pl),cabbage soup
экономист,economist
эксплуатировать (i),to exploit
авось,perhaps
авторский,author’s
актриса,actress
алый,scarlet
ангел,angel
анкета,"questionnaire, form"
античный,ancient
арбуз,water melon
банкир,banker
бегство,"flight, escape"
бедность (f),poverty
бензин,petrol
бесплатный,free (of charge)
беспокойно,restlessly; disturbing
блистательный,brilliant
болезненный,unhealthy
брызги (f) (pl),spray
вдобавок (к +d),in addition (to) (coll)
веление,command
вероятный,probable
владыка (m),"master, ruler"
возбуждённый,"aroused, excited"
восприятие,perception
вражеский,enemy (adj)
всевозможный,all kinds of
вытеснять/вытеснить (+a),"to force out, displace"
гнилой,"rotten, decayed"
гонять/по- (+a),"to drive, make (s.o.) run"
государь (m),sovereign
грабить/о- (+a),"to rob, pillage"
двигать/двинуть (+a or +inst),"to move, set in motion"
дворянин,"nobleman, member of the gentry"
деятельный,active
добровольный,voluntary
доносить/донести (+a до +g) ,"to carry (sth to); (+a +d) report (sth to s.o.); (на +a) inform (on s.o.), denounce (s.o.)"
дружина,militia
дымок,puff of smoke
жевать/про- (+a),to chew
житейский,worldly; everyday
загонять/загнать (+a),to drive in
заголовок,"title, heading"
душить/за- (+a),"to strangle, suffocate, stifle"
зажимать/зажать (+a),to squeeze
заиграть (р) (+a),to start playing
заказывать/заказать (+a),to order (sth)
закусывать/закусить,"to have a snack, have some food"
запрещение,"prohibition, ban"
земляной,"earthen, earth (adj)"
знакомить/по- (+a с +inst),to introduce (s.o. to s.o. or sth)
известность (f),fame
издеваться (i) (над +inst),"to mock (s.o.), make fun of"
исполнительный,executive (adj); efficient
кабина,cabin
камин,fireplace
кампания,campaign
каток,skating-rink; roller
колбаса,"sausage, salami"
колос,ear (of corn)
командировка,"business trip, study trip, assignment"
костыль (m),crutch
крепнуть/о-,"to get stronger, get stronger"
кружка,"mug, tankard"
крупинка,grain
крыться/по- (в +pr),"to lie (in), be concealed (in)"
кубок,"goblet, bowl"
лишаться/лишиться (+g),"to be deprived of, lose"
лужа,puddle
мальчишеский,boyish; childish
мёд,honey
мигать/мигнуть,"to blink, wink"
молоток,hammer
молочный,milk (adj)
мрачно,gloomily
мысленно,mentally
наваливаться/навалиться (на +a),to fall on; lean on
надзор (за +inst),supervision; surveillance
надлежащий,"proper, fitting, appropriate"
наказывать/наказать (+a),to punish
накидывать/накинуть (+a),to throw on
нападать/напасть (на +a),to attack; come upon
направленный,directed; purposeful
пугать/на- (+a),to frighten
нарастать/нарасти,to grow (on); increase
насущный,"vital, essential"
начисто,completely (coll)
незаметный,imperceptible
неизменный,invariable
неограниченный,unlimited
нервно,nervously
неустанно,tirelessly
обзор,"survey, review"
окрашивать/окрасить (+a),"to paint, colour"
окрестность (f),"environs, vicinity"
отрицательно,negatively; unfavourably
отсталый,backward
официально,officially
пень (m),tree-stump
переезжать/переехать,to drive across; move (house)
пересекать/пересечь (+a),"to intersect, cross, cut across"
писаться (i),to be written; be spelt
плевать/плюнуть,to spit
поговорка,"saying, proverbial phrase"
губить/по- (+a),"to destroy, ruin"
подавленный,suppressed; depressed
подносить/поднести (+a),"to take to; (+d) present to, bring"
подъезжать/подъехать (к +d),to drive up to
покупатель (m),customer
полнота,fullness; stoutness
поминать/помянуть (+a),to mention; recall
по-настоящему,"properly, in the right way"
популярность (f),popularity
поучительный,instructive
почтительно,respectfully
превосходный,superb
предвидеть (i) (+a),to foresee
престол,throne
привычно,"in the customary way, as usual"
приготовление,preparation
приезжий,"non-resident, passing through, visiting; (as noun) newcomer, visitor"
приключение,adventure
проспект,avenue (wide street)
пятиться/по-,"to back away, step back"
равнодушно,with indifference
радовать/об- (+a),"to gladden, please"
разгар,"height, climax"
раздражать/раздражить (+a),"to irritate, annoy"
разочарование,disappointment
раскидываться/раскинуться,to stretch out
распад,disintegration
рёв,roar
революционер,revolutionary
родственный,"family (adj), kindred"
рычать/за-,to growl
самодеятельность (f),individual initiative; amateur activity
сбыт,sale
варить/сварить (+a),"to boil, cook"
сваривать/сварить,to weld
свинцовый,"lead (adj), leaden"
сговариваться/сговориться (с +inst),to make an arrangement (with s.o.)
сдвиг,"shift, displacement; change, improvement"
седло,saddle
сжимать/сжать (+a),to squeeze
скупой,miserly
совершенство,perfection
созревать/созреть,"to mature, ripen"
солёный,salted
солидарность (f),solidarity
сопровождаться (i) (+inst), to be accompanied by
сопротивляться (i) (+d),to resist
срываться/сорваться,"to break away; (coll) fail, go wrong"
ссориться/по- (с +inst),to quarrel (with s.o.)
стихийный,elemental; spontaneous
страстно,passionately
страстный,passionate
строчка,line (of text); stitch
